,text,Date,label
25,everybody believing going james comey ft define leak illegally leaked classified information ft understand serious lied place cover fs either sick dumb remember sailor,04/27/2018,1
26,u put together strong bid w canada mexico world cup would shame countries always support lobby u bid supporting countries ft support us including united nations,04/26/2018,1
27,loved foxandfriends morning great show,04/26/2018,1
28,interviewed foxandfriends enjoy,04/26/2018,1
29,maga,04/25/2018,-1
30,thank kanye cool,04/25/2018,-1
31,looking forward meeting tim cook apple talking many things including u treated unfairly many years many countries trade,04/25/2018,-1
32,flotus spectacular job hosting president france emmanuelmacron wife brigitte every detail done perfection state dining room never looked beautiful washington abuzz incredible job melania,04/25/2018,-1
33,busy day planned looking forward watching president macron france address joint session congress today great honor seldom allowed done great,04/25/2018,-1
34,congratulations republican debbie lesko big win special election arizona house seat debbie great job press silent,04/25/2018,-1
35,two great republics linked together timeless bonds history culture destiny people cherish values protect civilization recognize image god every human soul,04/24/2018,2
36,today flotus melania honored welcome french president emmanuelmacron mrs brigitte macron whitehouse look forward hosting tonight state dinner honor,04/24/2018,2
37,jimrenacci worked hard tax reductions illegal immigration border crime need jim badly help agenda keep making america great fantastic senator great state ohio full endorsement,04/24/2018,2
38,jimrenacci worked hard tax reductions illegal immigration border crime need jim badly help agenda keep making america great fantastic senator great state ohio full endorsement,04/24/2018,2
39,gpresident trump calls u france relationship eunbreakable f history shows fs right h,04/24/2018,2
40,arizona please get today vote debbielesko congress az strong border immigration crime great military time ticking get vote today need debbie congress,04/24/2018,2
41,americans stand canada prime minister justintrudeau thoughts prayers torontostrong,04/24/2018,2
42,great meetings discussions friend president emmanuelmacron france midst meetings iran syria trade holding joint press conference shortly whitehouse,04/24/2018,2
43,fs great stat since january number people forced use food stamps million american people finally back work,04/23/2018,2
44,mexico whose laws immigration tough must stop people going mexico u may make condition new nafta agreement country cannot accept happening also must get wall funding fast,04/23/2018,2
45,despite democrat inspired laws sanctuary cities border bad one sided instructed secretary homeland security let large caravans people country disgrace country world naive wall,04/23/2018,2
46,hard believe obstructionists may vote mike pompeo secretary state dems approve hundreds good people including ambassador germany maxing time approval process never happened need republicans,04/23/2018,2
47,thank incredible law enforcement officers palm beach county sheriff fs office keep us safe cool,04/22/2018,0
48,kim strassel wsj said reviewing dumb comey memos gyou got ask purpose special counsel fs h dan henninger wsj said memos would show would one weakest obstruction cases ever brought,04/22/2018,0
49,funny pundits ft come close making deal north korea place telling make deal,04/22/2018,0
50,complete witch hunt,04/22/2018,0
51,gi die happy trump job performance h stated mary matalin ga great overall president stunning h thank mary,04/22/2018,0
52,long way conclusion north korea maybe things work maybe ft time tell work done long time ago,04/22/2018,0
53,sleepy eyes chuck todd fake news nbc stated given much negotiations north korea given nothing wow ft given anything agreed denuclearization great world site closure testing,04/22/2018,0
54,ggop lawmakers asking sessions investigate comey hillary clinton h foxnews good luck request,04/22/2018,0
55,gat least two memos comey shared friend contained classified information h wall street journal,04/21/2018,-2
56,washington post said refer jeff sessions gmr magoo h rod rosenstein gmr peepers h gaccording people president spoken h people ft know characters fake disgusting news create ill,04/21/2018,-2
57,james comey fs memos classified declassify belong government therefore broke law additionally totally made many things said said already proven liar leaker memos clinton lynch others,04/21/2018,-2
58,sylvester stallone called story heavyweight boxing champion jack johnson trials tribulations great life complex controversial others looked years thought would done yes considering full pardon,04/21/2018,-2
59,funny democrats sued republicans winning r fs counter force turn treasure trove material including servers emails,04/21/2018,-2
60,heading southern white house watch funeral service barbara bush first lady melania arrived houston pay respects beautiful day,04/21/2018,-2
61,today thoughts prayers entire bush family memory first lady barbara bush remembrance display located portrait center hall whitehouse,04/21/2018,-2
62,fantastic crowd great people yesterday key west florida thank,04/21/2018,-2
63,join washington michigan saturday april pm maga tickets,04/21/2018,-2
64,non existent gsources h drunk drugged loser hates michael fine person wonderful family michael businessman account lawyer always liked respected people flip government lets trouble even,04/21/2018,-2
65,means lying making stories sorry ft see michael despite horrible witch hunt dishonest media,04/21/2018,-2
66,new york times third rate reporter named maggie haberman known crooked h flunkie ft speak nothing going way destroy michael cohen relationship hope gflip h use,04/21/2018,-2
67,new york times third rate reporter named maggie habberman known crooked h flunkie ft speak nothing going way destroy michael cohen relationship hope gflip h use,04/21/2018,-2
68,non existent gsources h drunk drugged loser hates michael fine person wonderful family michael businessman account lawyer always liked respected people flip government lets trouble even,04/21/2018,-2
69,means lying making stories sorry ft see michael despite horrible witch hunt dishonest media,04/21/2018,-2
70,message kim jong un gnorth korea stop nuclear tests launches intercontinental ballistic missiles halso gshut nuclear test site country fs northern side prove vow suspend nuclear tests h progress made,04/21/2018,-2
71,james comey illegally leaked classified documents press order generate special council therefore special council established based illegal act really everybody know means,04/21/2018,-2
72,heard campaign sued obstructionist democrats good news counter dnc server refused give fbi debbie wasserman schultz servers documents held pakistani mystery man clinton emails,04/20/2018,1
73,north korea agreed suspend nuclear tests close major test site good news north korea world big progress look forward summit,04/20/2018,1
74,heard campaign sued obstructionist democrats good news counter dnc server refused give fbi wendy wasserman schultz servers documents held pakistani mystery man clinton emails,04/20/2018,1
75,believe despite bad stories fake news media getting good stories today highest poll numbers including election day american public wise phony dishonest press make america great,04/20/2018,1
76,looks like opec record amounts oil place including fully loaded ships sea oil prices artificially high good accepted,04/20/2018,1
77,nancy pelosi going absolutely crazy big tax cuts given american people republicans got one democrat vote fs choice want end raise taxes substantially republicans working making permanent cuts,04/20/2018,1
78,exciting agreed commencement speaker great naval academy may th annapolis maryland looking forward,04/20/2018,1
79,general michael flynn fs life totally destroyed shadey james comey leak lie make lots money third rate book never written really way life america supposed work ft think,04/20/2018,1
80,james comey memos show clearly collusion obstruction also leaked classified information wow witch hunt continue,04/20/2018,1
81,james comey threw andrew mccabe gunder bus h inspector general fs report mccabe disaster getting little lot medicine,04/19/2018,1
82,sanctuary cities released least gang members across united states making easy commit forms violent crimes none would existed great job law enforcement things make safety america difficult,04/19/2018,1
83,thoughts prayers condolences families friends colleagues two gcsoflorida deputies heroes lost lives line duty today,04/19/2018,1
84,mike pompeo outstanding first class west point top student harvard law school success whatever done need senate approve mike asap great secretary state,04/19/2018,1
85,hopefully senate leave washington ambassadors judges people make washington work approved democrats obstructing process need people approved good country,04/19/2018,1
86,democrats obstructing good hopefully great people wanting give big portion life work government hence american people gslow walking h nominations hundreds people rate would take years approvals,04/19/2018,1
87,marshablackburn wonderful woman always needed great military border security crime loves works hard people tennessee full endorsement campaign,04/19/2018,1
88,thank jiatfsouth norad northcom southcomwatch dhsgov keep great work,04/19/2018,1
89,arrived naskeywest heading briefing joint interagency task force south northcom southcom,04/19/2018,1
90,governor jerry brown announced deploy gup national guard troops h nothing crime rate california high enough federal government paying governor brown fs charade need border security action words,04/19/2018,1
91,thank san diego county defending rule law supporting lawsuit california illegal unconstitutional sanctuary policies california dangerous policies release violent criminals back communities putting americans risk,04/19/2018,1
92,great meeting prime minister abe japan left florida talked depth north korea military trade good things happen,04/19/2018,1
93,great honor host friend jpn pmo abeshinzo delegation mar lago past two days lots accomplished thank success,04/19/2018,1
94,great working luncheon u japanese delegations afternoon,04/18/2018,1
95,prime minister abeshinzo japan morning building even deeper better relationship playing quick round golf trump international golf club,04/18/2018,1
96,best wishes prime minister netanyahu people israel th anniversary great independence better friends anywhere looking forward moving embassy jerusalem next month,04/18/2018,1
97,slippery james comey worst fbi director history fired phony russia investigation way collusion except dems,04/18/2018,1
98,mike pompeo met kim jong un north korea last week meeting went smoothly good relationship formed details summit worked denuclearization great thing world also north korea,04/18/2018,1
99,sketch years later nonexistent man total con job playing fake news media fools know,04/18/2018,1
100,revolution going california soooo many sanctuary areas want ridiculous crime infested breeding concept jerry brown trying back national guard border people state happy want security safety,04/18/2018,1
101,japan south korea would like us go back tpp ft like deal united states many contingencies way get ft work bilateral deals far efficient profitable better workers look bad wto u,04/18/2018,1
102,pastor andrew brunson fine gentleman christian leader united states trial persecuted turkey reason call spy spy hopefully allowed come home beautiful family belongs,04/18/2018,1
103,great honor host jpn pmo abeshinzo,04/18/2018,1
104,flotus melania join nation celebrating life barbara bush,04/18/2018,1
105,flotus melania join nation celebrating life barbara bush,04/18/2018,1
106,states cities throughout country cheated treated badly online retailers unfair traditional tax paying stores,04/17/2018,1
107,today fs court decision means congress must close loopholes block removal dangerous criminal aliens including aggravated felons public safety crisis fixed,04/17/2018,1
108,congress house senate must quickly pass legislative fix ensure violent criminal aliens removed society keep america safe,04/17/2018,1
109,welcome prime minister abe,04/17/2018,1
110,rasmussen came approval despite fake news media one three accurate election day inaccurate cnn abc news washington post ft changed get new pollsters much media scam,04/17/2018,1
111,getting ready meet prime minister abe japan truly fine gentleman,04/17/2018,1
112,looks like jerry brown california looking safety security along porous border cannot come terms national guard patrol protect border high crime rate get higher much wanted wall san diego already started,04/17/2018,1
113,many people seeing benefits tax cut bill everyone talking really nice see,04/17/2018,1
114,florida looking forward meeting prime minister abe japan working trade military security,04/17/2018,1
115,employment taxes enjoy,04/17/2018,1
116,russia china playing currency devaluation game u keeps raising interest rates acceptable,04/16/2018,-1
117,comey drafted crooked hillary exoneration long talked lied congress senator g based decisions poll numbers disgruntled mccabe others committed many crimes,04/16/2018,-1
118,hit rasmussen poll much higher president obama point phony stories fake news fs hard believe thank america great things,04/15/2018,0
119,slippery james comey man always ends badly whack smart go worst fbi director history far,04/15/2018,0
120,attorney client privilege thing past many many lawyers probably wondering offices even homes going raided everything including phones computers taken lawyers deflated concerned,04/15/2018,0
121,never asked comey personal loyalty hardly even knew guy another many lies gmemos h self serving fake,04/15/2018,0
122,syrian raid perfectly carried precision way fake news media could demean use term gmission accomplished h knew would seize felt great military term brought back use often,04/15/2018,0
123,comey throws ag lynch gunder bus h ft find happened tarmac back plane wild bill lynch promised supreme court seat ag order lay hillary golf grandkids talk give us break,04/15/2018,0
124,big questions comey fs badly reviewed book ft answered like come gave classified information jail lie congress jail dnc refuse give server fbi ft take phony memos mccabe fs,04/15/2018,0
125,unbelievably james comey states polls crooked hillary leading factor handling stupidly clinton email probe words making decisions based fact thought going win wanted job slimeball,04/15/2018,0
126,proud great military soon spending billions fully approved dollars finest country ever ft anything anyone even close,04/14/2018,0
127,perfectly executed strike last night thank france united kingdom wisdom power fine military could better result mission accomplished,04/14/2018,0
128,,04/14/2018,0
129,doj issued mccabe report total disaster lied lied lied mccabe totally controlled comey mccabe comey collusion made den thieves lowlifes,04/13/2018,1
130,bringing back factories bringing back jobs bringing back four beautiful words made usa,04/13/2018,1
131,untruthful slime ball time proven terrible director fbi handling crooked hillary clinton case events surrounding go one worst gbotch jobs h history great honor fire james comey,04/13/2018,1
132,james comey proven leaker liar virtually everyone washington thought fired terrible job fact fired leaked classified information prosecuted lied congress oath weak,04/13/2018,1
133,tremendous pressure building like never border wall end crime cradling sanctuary cities started wall san diego people pushing really hard get soon protected,04/13/2018,1
134,would join tpp deal substantially better deal offered pres obama already bilateral deals six eleven nations tpp working make deal biggest nations japan hit us hard trade years,04/13/2018,1
135,america fs greatest treasure people administration hears voice back fighting give every american future dignity purpose pride american spirit back taxcuts,04/12/2018,1
136,thank american workers travelled today event dedicated hardworking americans make nation run love country provide family pride work cherish great american flag taxcuts,04/12/2018,1
137,agricultural roundtable memembers congress governors making remarks large scale tax cuts given american families workers p rose garden join live,04/12/2018,1
138,agreed historically cooperative disciplined approach engaged robert mueller unlike clintons full confidence ty cobb special counsel fully advised throughout phase process,04/12/2018,1
139,yom hashoah remember six million jews slaughtered holocaust passing year duty remember atrocity increases pledge neveragain holocaustremembranceday,04/12/2018,1
140,good luck mike pompeo confirmation hearing today great secretary state,04/12/2018,1
141,never said attack syria would take place could soon soon event united states administration done great job ridding region isis gthank america h,04/12/2018,1
142,california governor jerry brown right thing sending national guard border thank jerry good move safety country,04/12/2018,1
143,wanted fire robert mueller december reported failing new york times would fired fake news biased newspaper,04/12/2018,1
144,big show tonight seanhannity p foxnews,04/12/2018,1
145,honored republican congressional leadership join whitehouse evening lots discuss continue making america great,04/11/2018,-2
146,gtrump took giant step towards actual welfare reform h,04/11/2018,-2
147,whitehouse partnering interior natlparkservice bring nscsafety gprescribed death h opioid memorial ellipse beginning tomorrow april th april th information,04/11/2018,-2
148,speaker paul ryan truly good man seeking election leave legacy achievement nobody question paul,04/11/2018,-2
149,much bad blood russia caused fake corrupt russia investigation headed democrat loyalists people worked obama mueller conflicted except rosenstein signed fisa comey letter collusion go crazy,04/11/2018,-2
150,relationship russia worse ever includes cold war reason russia needs us help economy something would easy need nations work together stop arms race,04/11/2018,-2
151,russia vows shoot missiles fired syria get ready russia coming nice new gsmart h ft partners gas killing animal kills people enjoys,04/11/2018,-2
152,things nobody thought possible despite never ending corrupt russia investigation takes tremendous time focus collusion obstruction fight back unthinkable raid lawyers office information bad,04/11/2018,-2
153,much fake news going white house calm calculated big focus open fair trade china coming north korea meeting course vicious gas attack syria feels great bolton larry k board,04/11/2018,-2
154,failing new york times wrote another phony story political pundit doug schoen ukrainian businessman asked short speech phone skype hosted doug ukraine positive ukraine another negative fake russia c story,04/11/2018,-2
155,today great honor welcome ncaa football national champion alabama crimson tide white house congratulations rolltide,04/10/2018,-1
156,thankful president xi china fs kind words tariffs automobile barriers also enlightenment intellectual property technology transfers make great progress together,04/10/2018,-1
157,thankful president xi china fs kind words tarrifs automobile barriers also enlightenment intellectual property technology transfers make great progress together,04/10/2018,-1
158,last night great honor host america fs senior defense military leaders dinner white house america fs military greatest fighting force history world pledge unwavering commitment men women uniform,04/10/2018,-1
159,total witch hunt,04/10/2018,-1
160,attorney client privilege dead,04/10/2018,-1
161,great cabinet meeting whitehouse morning,04/09/2018,1
162,democrats fs right country rest secured borders restored rule law,04/09/2018,1
163,car sent united states china tariff paid car sent china united states tariff paid sound like free fair trade sounds like stupid trade going years,04/09/2018,1
164,congratulations patrick reed great courageous masters win patrick amazing win doral years ago people saw great talent bright future ahead masters champion,04/09/2018,1
165,president obama crossed stated red line sand syrian disaster would ended long ago animal assad would history,04/08/2018,-1
166,pay open area immediately medical help verification another humanitarian disaster reason whatsoever sick,04/08/2018,-1
167,many dead including women children mindless chemical attack syria area atrocity lockdown encircled syrian army making completely inaccessible outside world president putin russia iran responsible backing animal assad big price,04/08/2018,-1
168,president xi always friends matter happens dispute trade china take trade barriers right thing taxes become reciprocal deal made intellectual property great future countries,04/08/2018,-1
169,washington post far fiction fact story story made garbage like poorly written novel good reporting always quoting sources names many ft exist story john kelly ft true another hit job,04/08/2018,-1
170,washington post far fiction fact story story made made garbage like poorly written novel good reporting always quoting sources names many ft exist story john kelly ft true another hit job,04/08/2018,-1
171,gthe fbi closed case hillary rigged investigation exonerated even ever interviewed never even put oath h much true jesse wattersworld,04/08/2018,-1
172,security spending somewhat predecessor scott pruitt received death threats bold actions epa record clean air water saving usa billions dollars rent market rate travel expenses ok scott great job,04/08/2018,-1
173,fire trump tower confined well built building firemen women great job thank,04/07/2018,0
174,department justice fbi hide ft giving strongly requested documents unredacted house judiciary committee stalling reason looking good,04/07/2018,0
175,lawmakers house judiciary committee angrily accusing department justice missing thursday deadline turning unredacted documents relating fisa abuse fbi comey lynch mccabe clinton emails much slow walking going bad,04/07/2018,0
176,sealing southern border people great country want safety security dems disaster important issue,04/07/2018,0
177,united states ft trade surplus china years must end unfair trade take barriers charge reciprocal tariffs u losing billion year losing billions dollars decades cannot continue,04/07/2018,0
178,spoke justintrudeau pay highest respect condolences families terrible humboldt team tragedy may god,04/07/2018,0
179,congratulations bernieandsid new wabcradio morning radio show new york city honor join two good luck,04/06/2018,1
180,gbet founder trump economy bringing black workers back labor force h,04/06/2018,1
181,america open business,04/06/2018,1
182,believe fake news media pushing hard story going replace g jeff sessions epa chief scott pruitt great job totally siege people really believe stuff much media dishonest corrupt,04/06/2018,1
183,china great economic power considered developing nation within world trade organization therefore get tremendous perks advantages especially u anybody think fair badly represented wto unfair u,04/06/2018,1
184,despite aluminum tariffs aluminum prices people surprised fm lots money coming u coffers jobs jobs jobs,04/06/2018,1
185,thank wvgovernor jim justice great honor amazing people west virginia today maga,04/05/2018,1
186,thanks historic tax cuts america open business millions american workers seeing take home pay higher wages salaries bonuses,04/05/2018,1
187,fake news washington post amazon fs gchief lobbyist h another many phony headlines gtrump defiant china adds trade penalties h wrong read gtrump defiant u adds trade penalties end barriers massive p theft h typically bad reporting,04/05/2018,1
188,caravan largely broken thanks strong immigration laws mexico willingness use cause giant scene border trump administrations actions border crossings still unacceptable year low stop drugs,04/05/2018,1
189,gstill rising rasmussen poll shows donald trump approval ratings percent h,04/04/2018,1
190,today honor dr martin luther king jr th anniversary assassination earlier year spoke dr king fs legacy justice peace impact uniting americans mlk proclamation,04/04/2018,1
191,thoughts prayers four u marines rd marine aircraft wing lost lives yesterday fs southern california helicopter crash pray families great usmc,04/04/2018,1
192,fre already billion ft lose,04/04/2018,1
193,trade war china war lost many years ago foolish incompetent people represented u trade deficit billion year intellectual property theft another billion cannot let continue,04/04/2018,1
194,border laws weak mexico canada strong congress must change obama era laws democrats stand way want people pour country unchecked crime taking strong action today,04/04/2018,1
195,briefed shooting youtube fs hq san bruno california thoughts prayers everybody involved thank phenomenal law enforcement officers first responders currently scene,04/03/2018,2
196,protect southern border,04/03/2018,2
197,today honor welcome estonia president kerstikaljulaid lithuania president grybauskaite lt latvia president vejonis whitehouse congratulations th anniversaries independence balticsummit,04/03/2018,2
198,right amazon costing united states post office massive amounts money delivery boy amazon pay costs plus bourne american taxpayer many billions dollars p leaders ft clue,04/03/2018,2
199,thank rasmussen honest polling hit higher cheatin f obama time administration,04/03/2018,2
200,check fact ft get job ratings challenged cnn unless state totally anti trump little jeff zuker whose job jeopardy much fun lately clean strengthen cnn get back honest reporting,04/03/2018,2
201,big caravan people honduras coming across mexico heading gweak laws h border better stopped gets cash cow nafta play foreign aid honduras countries allow happen congress must act,04/03/2018,2
202,fake news networks knowingly sick biased agenda worried competition quality sinclair broadcast gfakers h cnn nbc abc cbs done much dishonest reporting allowed get awards fiction,04/03/2018,2
203,autismawarenessday lightitupblue,04/03/2018,2
204,gpresident trump approval rate among likely u voters hit percent monday puts higher former president barack obama score point first term according new poll h via anna giaritelli dcexaminer,04/03/2018,2
205,nominations including diplomats foreign lands confirmed due democrat obstruction delay rate would take years allowed great people start working never happened disgraceful,04/03/2018,2
206,honduras mexico many countries u generous sends many people country weak immigration policies caravans heading must pass tough laws build wall democrats allow open borders drugs crime,04/03/2018,2
207,ridiculous sounds laws country easily allow us send crossing southern border back came whole big wasted procedure must take place mexico canada tough immigration laws whereas obama joke act congress,04/03/2018,2
208,gpresident donald j trump proclaims april world autism awareness day h,04/02/2018,2
209,honor host annual whitehouse easter egg roll,04/02/2018,2
210,sad department gjustice h fbi slow walking even giving unredacted documents requested congress embarrassment country,04/02/2018,2
211,fools worse saying money losing post office makes money amazon lose fortune changed also fully tax paying retailers closing stores country level playing field,04/02/2018,2
212,funny watch fake news networks among dishonest groups people ever dealt criticize sinclair broadcasting biased sinclair far superior cnn even fake nbc total joke,04/02/2018,2
213,mexico making fortune nafta strong border laws pathetic money make u hopefully stop people coming country least congress changes immigration laws,04/02/2018,2
214,daca dead democrats ft care act everyone wants get onto daca bandwagon longer works must build wall secure borders proper border legislation democrats want borders hence drugs crime,04/02/2018,2
215,congress must immediately pass border legislation use nuclear option necessary stop massive inflow drugs people border patrol agents ice great weak dem laws ft allow job act congress country stolen,04/02/2018,2
216,mexico absolute power let large gcaravans h people enter country must stop northern border border laws work allow pass country effective border laws,04/02/2018,2
217,big flows people trying take advantage daca want act,04/01/2018,0
218,mexico little nothing stopping people flowing mexico southern border u laugh dumb immigration laws must stop big drug people flows stop cash cow nafta need wall,04/01/2018,0
219,border patrol agents allowed properly job border ridiculous liberal democrat laws like catch release getting dangerous gcaravans h coming republicans must go nuclear option pass tough laws daca deal,04/01/2018,0
220,happy easter,04/01/2018,0
221,governor jerry gmoonbeam h brown pardoned criminal illegal aliens whose crimes include kidnapping robbery badly beating wife threatening crime intent terrorize dealing drugs really great people california want foxnews,03/31/2018,0
222,include fake washington post used globbyist h register p gincreased parcel rates amazon fs shipping costs would rise billion h post office scam must stop amazon must pay real costs taxes,03/31/2018,0
223,subject reported u post office lose average package delivers amazon amounts billions dollars failing n times reports gthe size company fs lobbying staff ballooned h,03/31/2018,0
224,,03/30/2018,-2
225,washington spent trillions building foreign countries allowing infrastructure fall state total disrepair time rebuild american workers american grit american pride,03/29/2018,-1
226,jobs jobs jobs unemployment claims fallen year low together making economy great,03/29/2018,-1
227,going rebuild crumbling infrastructure better place begin campaign great state ohio tremendous honor today state art training site skills american worker forged refined,03/29/2018,-1
228,stated concerns amazon long election unlike others pay little taxes state local governments use postal system delivery boy causing tremendous loss u putting many thousands retailers business,03/29/2018,-1
229,interim hon robert wilkie dod serve acting secretary thankful dr david shulkin fs service country great veterans,03/28/2018,-1
230,pleased announce intend nominate highly respected admiral ronny l jackson md new secretary veterans affairs,03/28/2018,-1
231,great briefing afternoon start southern border wall,03/28/2018,-1
232,release known dangerous criminals communities across state citizens right protected federal law strong borders,03/28/2018,-1
233,administration stands solidarity brave citizens orange county defending rights california illegal unconstitutional sanctuary policies california sanctuary laws,03/28/2018,-1
234,ustraderep announced agreement principle south korea korus great deal american korean workers let fs focus important security relationship,03/28/2018,-1
235,received message last night xi jinping china meeting kim jong un went well kim looks forward meeting meantime unfortunately maximum sanctions pressure must maintained cost,03/28/2018,-1
236,years many administrations everyone said peace denuclearization korean peninsula even small possibility good chance kim jong un right people humanity look forward meeting,03/28/2018,-1
237,second amendment never repealed much democrats would like see happen despite words yesterday former supreme court justice stevens way need republicans must always hold supreme court,03/28/2018,-1
238,pleased welcome opioid memorial president park april encourage visit remember lost deadly epidemic keep fighting defeat opioid crisis,03/27/2018,-2
239,trade talks going numerous countries many years treated united states fairly end happy,03/27/2018,-2
240,great news maga,03/26/2018,1
241,much fake news never voluminous inaccurate country great,03/26/2018,1
242,economy looking really good many years seen kind numbers underlying strength companies perhaps never better,03/26/2018,1
243,howiecarrshow wrote book everyone talking great help veteran journalist great influence nh beyond calls amazing political campaign modern times book called gwhat really happened h enjoy maga,03/26/2018,1
244,gpresident donald j trump proclaims march greek independence day national day celebration greek american democracy h,03/25/2018,0
245,happy national medalofhonorday heroes love,03/25/2018,0
246,lawyer law firm take months get speed reason bill unfair great country happy existing team besides collusion russia except crooked hillary dems,03/25/2018,0
247,many lawyers top law firms want represent russia case ft believe fake news narrative hard find lawyer wants take fame fortune never turned lawyer though conflicted problem new,03/25/2018,0
248,much done billion given building fixing border wall payment work start immediately rest money come remember daca democrats abandoned,03/25/2018,0
249,billion dollars gotten rebuild military many jobs created military rich building great border wall drugs poison enemy combatants pouring country national defense build wall,03/25/2018,0
250,france honors great hero officer died bravely swapping places hostage isis related terror attack much bravery around world constantly fighting radical islamic terrorism even stronger measures needed especially borders,03/25/2018,0
251,thoughts prayers victims horrible attack france yesterday grieve nation fs loss also condemn violent actions attacker anyone would provide support emmanuelmacron,03/24/2018,0
252,matter national security signed omnibus spending bill say congress never sign another bill like prevent omnibus situation ever happening calling congress give line item veto govt spending bills,03/23/2018,2
253,obama administration legalized bump stocks bad idea promised today department justice issue rule banning bump stocks mandated comment period ban devices turn legal weapons illegal machine guns,03/23/2018,2
254,news conference white house concerning omnibus spending bill p,03/23/2018,2
255,considering veto omnibus spending bill based fact plus daca recipients totally abandoned democrats even mentioned bill border wall desperately needed national defense fully funded,03/23/2018,2
256,daca abandoned democrats unfair would tied desperately needed wall,03/23/2018,2
257,house intelligence committee votes release final report findings evidence provided collusion trump campaign russia obama administrations post election response insufficient clapper provided inconsistent testimony media contacts,03/23/2018,2
258,pleased announce effective ambjohnbolton new national security advisor thankful service general h r mcmaster done outstanding job always remain friend official contact handover,03/22/2018,1
259,honor charlie thank maga,03/22/2018,1
260,candidate pledged elected would use every lawful tool combat unfair trade protect american workers defend national security today took another critical step fulfill commitment,03/22/2018,1
261,remember saying campaign donald trump giving great speeches drawing big crowds spending much less money using social media well crooked hillary fs large highly sophisticated staff well saying anymore,03/22/2018,1
262,crazy joe biden trying act like tough guy actually weak mentally physically yet threatens second time physical assault ft know would go fast hard crying way ft threaten people joe,03/22/2018,1
263,democrats refused take care daca would easy ft care fight military start wall,03/22/2018,1
264,got billion start wall southern border rest forthcoming importantly got billion rebuild military billion next year ever waste money dem giveaways order take care military pay increase new equipment,03/22/2018,1
265,help solve problems north korea syria ukraine isis iran even coming arms race bush tried get along ft gsmarts h obama clinton tried ft energy chemistry remember reset peace strength,03/21/2018,-2
266,called president putin russia congratulate election victory past obama called also fake news media crazed wanted excoriate wrong getting along russia others good thing bad thing,03/21/2018,-2
267,gspecial council told find crimes whether crime exists opposed selection mueller special council still opposed think president trump right said never special council appointed,03/21/2018,-2
268,probable cause believing crime collusion otherwise obstruction justice h stated harvard law professor alan dershowitz,03/21/2018,-2
269,gspecial council told find crimes wether crimes exist opposed selection mueller special council still opposed think president trump right said never special council appointed,03/21/2018,-2
270,department justice urged supreme court least hear drivers license case illegal immigrants arizona agree loudobbs sought review,03/21/2018,-2
271,austin bombing suspect dead great job law enforcement concerned,03/21/2018,-2
